iter	RMSE
0	143.7638921
1	132.2142296
2	123.4039245
3	115.3010985
4	108.8596798
5	102.8360585
6	97.78025986
7	93.41673768
8	90.04617586
9	87.37007569
10	84.29575216
11	82.22236673
12	80.62486101
13	79.41917719
14	77.92776315
15	76.79052585
16	75.59817084
17	74.76766531
18	74.0226604
19	73.13267357
20	72.50830463
21	71.83744249
22	71.00152116
23	70.54854565
24	69.98578546
25	69.66377093
26	69.16656291
27	68.42796174
28	67.81673954
29	67.21426981
30	67.00860321
31	66.54770993
32	66.13758211
33	65.52259219
34	65.09023034
35	64.73719989
36	64.30476874
37	64.02439225
38	63.80624926
39	63.53214478
40	63.46390743
41	63.40158809
42	63.16879467
43	62.86458159
44	62.60714858
45	62.47574632
46	62.41772775
47	62.22659393
48	62.02553253
49	61.6470985
50	61.63885694
51	61.61805461
52	61.48263374
53	61.33564293
54	61.11151798
55	61.07788311
56	60.98107613
57	60.9150394
58	60.75130964
59	60.71750609
60	60.7102315
61	60.51211988
62	60.48784229
63	60.34326797
64	60.1639689
65	60.15686816
66	60.12073281
67	60.03089237
68	60.00925634
69	59.82733162
70	59.82042415
71	59.71515082
72	59.54978213
73	59.53552379
74	59.5270565
75	59.5133174
76	59.50375401
77	59.50251186
78	59.44108562
79	59.41737311
80	59.37036623
81	59.33070354
82	59.32762603
83	59.19652847
84	59.18698581
85	59.09762605
86	59.0467477
87	58.88220214
88	58.7644254
89	58.75457414
90	58.74592783
91	58.69684313
92	58.68808843
93	58.67038937
94	58.64720746
95	58.60465701
96	58.56424666
97	58.49813142
98	58.40836039
99	58.36571516
100	58.2100465
101	58.20328728
102	58.16175238
103	58.15940639
104	58.14339302
105	58.13635798
106	58.10788355
107	58.05385468
108	58.0384841
109	57.96999124
110	57.96200035
111	57.96165695
112	57.90877819
113	57.71215174
114	57.65961083
115	57.60671867
116	57.59974968
117	57.59688777
118	57.58528803
119	57.54413569
120	57.53137295
121	57.48617372
122	57.41197996
123	57.38022353
124	57.36383267
125	57.32076012
126	57.30596238
127	57.29328794
128	57.20619163
129	57.18947275
130	57.18149547
131	57.08126329
132	57.06395796
133	57.02329967
134	56.99170229
135	56.94131883
136	56.81352003
137	56.74283975
138	56.74145207
139	56.71757628
140	56.7162071
141	56.63884994
142	56.6126497
143	56.55682767
144	56.51967547
145	56.45722449
146	56.45563197
147	56.43211736
148	56.34114151
149	56.339113
150	56.27564824
151	56.22668284
152	56.14299547
153	56.08504089
154	56.0649578
155	56.00411755
156	55.94353177
157	55.92948019
158	55.88014876
159	55.81467964
160	55.80307036
161	55.73337567
162	55.59858652
163	55.56396505
164	55.52203794
165	55.48544751
166	55.412472
167	55.34139981
168	55.26470091
169	55.2296147
170	55.21428938
171	55.21154517
172	55.19796546
173	55.18357555
174	55.1350543
175	55.13113969
176	55.06552025
177	55.06054998
178	55.05659061
179	55.01799308
180	54.95003343
181	54.92741795
182	54.92435007
183	54.89959663
184	54.87491086
185	54.83156199
186	54.78980373
187	54.77017449
188	54.75200168
189	54.74208826
190	54.70894886
191	54.69499943
192	54.68024479
193	54.60003259
194	54.59329224
195	54.58025866
196	54.57316012
197	54.56338184
198	54.53171124
199	54.52395836
200	54.45991501
201	54.43590145
202	54.41425803
203	54.39525757
204	54.38723333
205	54.36913236
206	54.3474249
207	54.34353207
208	54.3055847
209	54.26412123
210	54.23071423
211	54.20044153
212	54.16672849
213	54.15784163
214	54.14223443
215	54.13296776
216	54.13069422
217	54.11349582
218	54.11033341
219	54.10927942
220	54.09477725
221	54.06731828
222	54.03909688
223	54.01105991
224	53.97685102
225	53.95053718
226	53.94329465
227	53.91378269
228	53.89875419
229	53.87274413
230	53.8627784
231	53.85917822
232	53.81136691
233	53.75451483
234	53.68088489
235	53.67151469
236	53.65241937
237	53.64410031
238	53.62650249
239	53.55880728
240	53.53561842
241	53.47314994
242	53.45885527
243	53.43070995
244	53.4248735
245	53.35236588
246	53.34480893
247	53.34149814
248	53.3159981
249	53.24263486
250	53.21600573
251	53.17140313
252	53.15978076
253	53.1153133
254	53.0941108
255	53.0546349
256	53.04986104
257	53.04338882
258	52.99858559
259	52.98639905
260	52.9730341
261	52.94711283
262	52.93978441
263	52.91696503
264	52.91119394
