iter	Passed	Remaining
0	208	104202
1	276	68737
2	320	53117
3	371	46014
4	435	43077
5	490	40381
6	542	38174
7	589	36252
8	635	34660
9	686	33659
10	739	32876
11	777	31638
12	827	31010
13	874	30366
14	928	30012
15	980	29674
16	1032	29331
17	1081	28955
18	1134	28732
19	1181	28357
20	1223	27900
21	1273	27666
22	1324	27467
23	1380	27378
24	1437	27318
25	1496	27280
26	1546	27096
27	1599	26959
28	1656	26909
29	1706	26736
30	1746	26418
31	1794	26247
32	1849	26168
33	1901	26064
34	1954	25964
35	2002	25816
36	2049	25650
37	2108	25640
38	2154	25471
39	2204	25347
40	2255	25252
41	2305	25142
42	2379	25284
43	2438	25276
44	2500	25278
45	2552	25193
46	2609	25153
47	2669	25138
48	2719	25031
49	2768	24916
50	2813	24773
51	2860	24642
52	2907	24522
53	2958	24431
54	3011	24366
55	3062	24279
56	3107	24150
57	3156	24053
58	3201	23928
59	3245	23801
60	3283	23632
61	3349	23662
62	3396	23557
63	3453	23524
64	3505	23462
65	3546	23318
66	3606	23305
67	3659	23246
68	3700	23112
69	3751	23046
70	3791	22909
71	3846	22865
72	3899	22811
73	3948	22732
74	3993	22629
75	4038	22532
76	4097	22508
77	4142	22411
78	4188	22322
79	4237	22246
80	4285	22170
81	4337	22108
82	4382	22017
83	4437	21974
84	4488	21916
85	4540	21857
86	4596	21820
87	4652	21782
88	4698	21697
89	4749	21637
90	4794	21549
91	4848	21501
92	4892	21409
93	4940	21340
94	5000	21318
95	5045	21232
96	5094	21164
97	5140	21088
98	5188	21015
99	5234	20939
100	5287	20887
101	5338	20829
102	5390	20777
103	5447	20743
104	5499	20689
105	5543	20606
106	5604	20586
107	5663	20555
108	5717	20511
109	5778	20487
110	5826	20420
111	5867	20326
112	5916	20261
113	5968	20207
114	6023	20165
115	6084	20141
116	6132	20075
117	6187	20030
118	6242	19984
119	6300	19951
120	6344	19873
121	6396	19818
122	6450	19772
123	6501	19713
124	6552	19658
125	6604	19603
126	6646	19519
127	6694	19454
128	6749	19410
129	6793	19336
130	6840	19268
131	6886	19199
132	6940	19152
133	6995	19106
134	7049	19059
135	7097	18995
136	7151	18949
137	7202	18894
138	7253	18837
139	7306	18788
140	7353	18721
141	7400	18657
142	7470	18651
143	7524	18602
144	7580	18559
145	7625	18489
146	7671	18421
147	7715	18350
148	7764	18291
149	7811	18226
150	7861	18170
151	7915	18121
152	7964	18062
153	8016	18010
154	8070	17964
155	8121	17907
156	8172	17854
