,Person Description,Place Code,Customer Order,Additional Features in market,Promotion Name,Store Kind,Store Sales,Store Cost,Gross Weight,Net Weight,Is Recyclable?,Min. Person Yearly Income,Store Area,Grocery Area,Frozen Area,Meat Area,Cost
mc_ID_0,"Single Male with two children, education: high school degree working as manual",S01em_OR,"Baking Goods from Baking Goods department, Ordered Brand : Landslide","['Video Store', 'Florist', 'Ready Food', 'Bar For Salad', 'Coffee Bar']",Tip Top Savings,Deluxe,3.28 M,0.984 M,21.9493,19.0421,yes,30K+,2577.5,1734.5,503.07,335.38,287.127
mc_ID_1,"Married Male with four children, education: high school degree working as manual",T02ma_WA,"Canned Sardines from Canned Foods department, Ordered Brand : Pleasant","['Florist', 'Bar For Salad', 'Ready Food', 'Coffee Bar']",Discount Frenzy,Deluxe,9.35 M,4.2075 M,19.1874,16.1349,yes,30K+,3145.51,2057.74,654.13,,779.6884
mc_ID_2,"Married Female with three children, education: partial college working as professional",S04ne_WA,"Frozen Desserts from Frozen Foods department, Ordered Brand : Carrington",[],Tip Top Savings,Supermarket,8.4 M,3.192 M,16.7163,12.3555,no,30K+,2811.99,2049.72,457.36,304.91,557.8318
mc_ID_3,"Single Male with four children, education: partial high school working as manual",V13er_BC,"Frozen Desserts from Frozen Foods department, Ordered Brand : PigTail","['Coffee Bar', 'Ready Food', 'Bar For Salad', 'Florist', 'Video Store']",Price Cutters,,4.6 M,1.518 M,24.1296,,yes,10K+,2147.17,,373.1,248.79,642.0871
mc_ID_4,"Married Female with four children, education: partial high school working as skilled manual",B14on_WA,"Meat from Deli department, Ordered Brand : Moms","['Ready Food', 'Bar For Salad']",Money Savers,Supermarket,6.81 M,3.2007 M,17.8792,16.4256,no,50K+,3685.3,2265.9,853.22,568.75,432.0503
mc_ID_5,"Single Male with three children, education: bachelors degree working as management",B06ls_CA,"Dairy from Dairy department, Ordered Brand : Even Better","['Video Store', 'Bar For Salad', 'Coffee Bar', 'Ready Food', 'Florist']",Shelf Emptiers,Gourmet,7.22 M,2.8158 M,10.0879,5.7272,yes,50K+,2199.45,1424.85,465.54,311.93,616.4078
mc_ID_6,"Single Female with three children, education: high school degree working as skilled manual",T02ma_WA,"Specialty from Produce department, Ordered Brand : Tell Tale","['Bar For Salad', 'Coffee Bar', 'Ready Food', 'Florist']",Sale : Double Down,,14.25 M,6.555 M,16.4256,,no,30K+,3145.24,2055.29,654.13,434.28,500.7202
mc_ID_7,"Married Male with two children, education: partial college working as management",H11go_ZA,"Jams and Jellies from Baking Goods department, Ordered Brand : Super","['Coffee Bar', 'Bar For Salad', 'Video Store', 'Ready Food', 'Florist']",Price Winners,Deluxe,1.59 M,0.7791 M,15.6988,12.7916,no,90K+,,2038.11,481.98,,478.9634
mc_ID_8,"Married Female with three children, education: partial high school working as manual",T02ma_WA,"Beer and Wine from Alcoholic Beverages department, Ordered Brand : Portsmouth","['Ready Food', 'Bar For Salad', 'Florist', 'Coffee Bar']",Tip Top Savings,Deluxe,5.74 M,2.0664 M,14.972,12.0648,yes,10K+,3148.28,2055.29,654.13,436.09,745.6934
mc_ID_9,"Married Female with three children, education: partial college working as skilled manual",P07nd_OR,"Baking Goods from Baking Goods department, Ordered Brand : BBB Best",[],GLD,Supermarket,3.04 M,1.216 M,16.571,13.6492,no,30K+,1887.7,1510.8,227.8,151.9,727.9637
mc_ID_10,"Married Female with one child, education: partial high school working as skilled manual",S03le_WA,"Vegetables from Canned Foods department, Ordered Brand : Better",['Coffee Bar'],Discount Frenzy,Supermarket,5.22 M,1.7226 M,15.8442,12.9224,yes,10K+,1974.58,1236.07,440.92,293.95,760.4943
mc_ID_11,"Married Male with four children, education: high school degree working as manual",G16ra_JA,"Meat from Meat department, Ordered Brand : Ship Shape",['Coffee Bar'],Best Savings,Small Grocery,3.5 M,1.365 M,12.0067,9.0995,no,30K+,2285.14,1394.66,536.29,,765.2536
mc_ID_12,"Single Male with two children, education: partial high school working as manual",S04ne_WA,"Hot Beverages from Beverages department, Ordered Brand : Landslide",[],Save It (Sale),Supermarket,2.56 M,1.1264 M,15.1174,12.1956,no,30K+,2811.99,2048.77,457.36,304.91,467.4051
mc_ID_13,"Single Female with one child, education: bachelors degree working as professional",S03le_WA,"Snack Foods from Snack Foods department, Ordered Brand : Fort West",['Coffee Bar'],Budget Bargains,Supermarket,15.84 M,6.8112 M,9.8554,6.9482,no,50K+,1972.24,1236.07,440.92,293.18,754.0614
mc_ID_14,"Single Male with four children, education: partial high school working as manual",P07nd_OR,"Canned Clams from Canned Foods department, Ordered Brand : Better",[],,Supermarket,8.44 M,3.376 M,,24.1296,yes,10K+,1887.7,1510.14,227.8,152.08,650.4028
mc_ID_15,"Married Female with four children, education: high school degree working as manual",A17co_GU,"Jams and Jellies from Baking Goods department, Ordered Brand : Super",[],Price Winners,,16.95 M,5.5935 M,9.7681,,no,30K+,2187.96,1623.48,341.05,227.33,543.397
mc_ID_16,"Single Female with two children, education: partial high school working as manual",L05es_CA,"Bread from Baked Goods department, Ordered Brand : Colony",['Florist'],Price Winners,Supermarket,5.79 M,2.2002 M,8.9251,4.5497,no,30K+,2193.78,,525.32,348.85,640.7273
mc_ID_17,"Married Male with five children, education: high school degree working as skilled manual",L05es_CA,"Canned Clams from Canned Foods department, Ordered Brand : Bravo",['Florist'],Roller Savings (High) ,Supermarket,11.55 M,4.158 M,29.6533,25.1472,yes,30K+,2191.23,1320.15,523.32,347.34,532.6232
mc_ID_18,"Single Male with two children, education: bachelors degree working as management",B14on_WA,"Fruit from Produce department, Ordered Brand : Tell Tale","['Ready Food', 'Bar For Salad']",Two for One,Supermarket,1.16 M,0.4292 M,15.9895,,yes,10K+,3687.88,2265.9,853.22,570.03,555.426
mc_ID_19,"Single Male with No children, education: high school degree working as skilled manual",M10da_YU,"Specialty from Carousel department, Ordered Brand : ADJ","['Florist', 'Bar For Salad', 'Coffee Bar', 'Ready Food', 'Video Store']",Money Savers,Deluxe,8.28 M,2.6496 M,28.4904,27.0368,yes,50K+,2863.04,1871.16,593.93,395.95,343.611
mc_ID_20,"Married Male with four children, education: bachelors degree working as management",S03le_WA,"Jams and Jellies from Baking Goods department, Ordered Brand : BBB Best",['Coffee Bar'],Sale : Double Down,Supermarket,4.83 M,2.2701 M,24.7111,20.3503,yes,50K+,1970.94,1236.07,440.92,292.17,309.5637
mc_ID_21,"Single Female with two children, education: partial college working as professional",L05es_CA,"Jams and Jellies from Baking Goods department, Ordered Brand : Landslide",['Florist'],Big Time Discounts,Supermarket,3.48 M,1.2876 M,20.2049,15.6988,yes,110K+,2192.32,1320.15,525.32,348.85,765.7243
mc_ID_22,"Married Female with two children, education: partial high school working as skilled manual",C15ho_ZA,"Carbonated Beverages from Beverages department, Ordered Brand : Fabulous","['Coffee Bar', 'Florist', 'Bar For Salad', 'Ready Food']",Saving Days,Gourmet,7.41 M,3.3345 M,27.0368,24.1296,yes,10K+,2207.28,1562.33,385.45,258.18,474.0995
mc_ID_23,"Single Female with No children, education: high school degree working as manual",V13er_BC,"Vegetables from Produce department, Ordered Brand : Tri-State","['Bar For Salad', 'Ready Food', 'Coffee Bar', 'Florist', 'Video Store']",Super Duper Savers,,11.2 M,3.92 M,18.4606,,no,30K+,2149.7,1525.28,375.1,247.75,318.3501
mc_ID_24,"Married Female with three children, education: partial high school working as skilled manual",B06ls_CA,"Vegetables from Produce department, Ordered Brand : Tell Tale","['Bar For Salad', 'Ready Food', 'Florist', 'Coffee Bar', 'Video Store']",Best Savings,Gourmet,6.6 M,2.046 M,19.4781,16.4256,no,50K+,2204.51,1422.03,465.54,310.35,281.4786
mc_ID_25,"Married Female with one child, education: partial high school working as management",S01em_OR,"Kitchen Products from Household department, Ordered Brand : Cormorant","['Coffee Bar', 'Ready Food', 'Bar For Salad', 'Florist', 'Video Store']",I Cant Believe It Sale,Deluxe,8.16 M,2.5296 M,30.9615,27.909,yes,90K+,2571.32,,503.07,335.38,363.3281
mc_ID_26,"Married Male with four children, education: partial high school working as skilled manual",S18co_CA,"Paper Products from Household department, Ordered Brand : High Quality",['Coffee Bar'],Price Winners,Small Grocery,7.59 M,3.5673 M,15.2627,10.9019,no,30K+,2083.9,1423.37,398.93,264.58,672.9441
