,Person%20Description,Place%20Code,Customer%20Order,Additional%20Features%20in%20market,Promotion%20Name,Store%20Kind,Store%20Sales,Store%20Cost,Gross%20Weight,Net%20Weight,Weights%20Data,Is%20Recyclable?,Yearly%20Income,Store%20Area,Grocery%20Area,Frozen%20Area,Meat%20Area,Cost
mc_ID_0,"Single Female with two children, education: partial high school working as professional",T02ma_WA,"Meat from Deli department, Ordered Brand : Red Spade","['Coffee Bar', 'Florist', 'Ready Food', 'Bar For Salad']",Sale : Double Down,Deluxe,7.12 Millions,2.5632 Millions,23.2575,20.3503,"{'Gross Weight': 23.2575, 'Net Weight': 20.3503, 'Package Weight': 2.9072}",yes,90K+,3145.51,2056.79,654.13,436.09,500.7202
mc_ID_1,"Single Female with five children, education: partial high school working as manual",M10da_YU,"Specialty from Produce department, Ordered Brand : Tell Tale","['Coffee Bar', 'Florist', 'Bar For Salad', 'Video Store', 'Ready Food']",GLD,Deluxe,14.72 Millions,7.0656 Millions,16.7163,12.3555,"{'Gross Weight': 16.7163, 'Net Weight': 12.3555, 'Package Weight': 4.3608}",yes,30K+,2856.68,1871.16,595.93,395.51,484.1411
mc_ID_2,"Married Male with three children, education: high school degree working as skilled manual",T02ma_WA,"Paper Products from Household department, Ordered Brand : High Quality","['Coffee Bar', 'Bar For Salad', 'Ready Food', 'Florist']",Promo Big,Deluxe,4.98 Millions,2.4402 Millions,10.5531,7.6459,"{'Gross Weight': 10.5531, 'Net Weight': 7.6459, 'Package Weight': 2.9072}",no,30K+,3140.99,2055.29,654.13,436.09,267.3576
mc_ID_3,"Married Female with five children, education: partial high school working as skilled manual",H11go_ZA,"Snack Foods from Snack Foods department, Ordered Brand : Nationeel","['Video Store', 'Coffee Bar', 'Ready Food', 'Florist', 'Bar For Salad']",Price Destroyers,,5.24 Millions,2.0436 Millions,23.6936,,"{'Gross Weight': 23.6936, 'Net Weight': 20.641, 'Package Weight': 3.0525}",no,10K+,2841.35,2038.11,481.98,322.22,777.2826
mc_ID_4,"Married Female with No children, education: partial high school working as management",O09ba_VE,"Canned Soup from Canned Foods department, Ordered Brand : Better","['Ready Food', 'Bar For Salad']",Save Price,Supermarket,8.84 Millions,3.4476 Millions,13.6056,10.6839,"{'Gross Weight': 13.6056, 'Net Weight': 10.6839, 'Package Weight': 2.9217}",no,110K+,3236.33,2448.37,472.27,313.87,406.4756
mc_ID_5,"Married Female with four children, education: partial high school working as skilled manual",S18co_CA,"Kitchen Products from Household department, Ordered Brand : Sunset",['Coffee Bar'],Sale Sale Sale,Small Grocery,2.67 Millions,1.1481 Millions,25.0018,20.641,"{'Gross Weight': 25.0018, 'Net Weight': 20.641, 'Package Weight': 4.3608}",no,10K+,2091.5,1423.95,398.93,267.41,498.3144
mc_ID_6,"Single Female with two children, education: partial high school working as manual",C15ho_ZA,"Dairy from Dairy department, Ordered Brand : Gorilla","['Florist', 'Bar For Salad', 'Ready Food', 'Coffee Bar']",Price Winners,,9.54 Millions,3.5298 Millions,30.6708,,"{'Gross Weight': 30.6708, 'Net Weight': 29.2172, 'Package Weight': 1.4536}",yes,10K+,2208.24,1564.86,385.45,256.97,769.7514
mc_ID_7,"Single Female with five children, education: high school degree working as manual",M12ty_DF,"Snack Foods from Snack Foods department, Ordered Brand : Horatio",[],,Mid-Size,8.46 Millions,3.7224 Millions,26.6008,22.0946,"{'Gross Weight': 26.6008, 'Net Weight': 22.0946, 'Package Weight': 4.5061}",yes,30K+,3390.54,2085.67,783.64,522.49,546.0643
mc_ID_8,"Single Male with two children, education: bachelors degree working as management",L05es_CA,"Candy from Snacks department, Ordered Brand : Choice",['Florist'],,Supermarket,1.92 Millions,0.6912 Millions,12.5736,9.6519,"{'Gross Weight': 12.5736, 'Net Weight': 9.6519, 'Package Weight': 2.9217}",no,70K+,2197.26,1320.24,523.32,348.23,765.7243
mc_ID_9,"Single Female with three children, education: high school degree working as manual",S03le_WA,"Drinks from Beverages department, Ordered Brand : Washington",['Coffee Bar'],Best Price Savers,Supermarket,10.53 Millions,3.7908 Millions,29.0719,27.6183,"{'Gross Weight': 29.0719, 'Net Weight': 27.6183, 'Package Weight': 1.4536}",no,30K+,1971.84,1238.67,440.92,293.95,349.2594
mc_ID_10,"Married Male with three children, education: bachelors degree working as professional",T02ma_WA,"Vegetables from Produce department, Ordered Brand : Ebony","['Ready Food', 'Coffee Bar', 'Florist', 'Bar For Salad']",Saving Days,Deluxe,2.9 Millions,1.45 Millions,20.7864,16.4256,"{'Gross Weight': 20.7864, 'Net Weight': 16.4256, 'Package Weight': 4.3608}",yes,110K+,3144.56,2055.29,654.13,436.09,352.0313
mc_ID_11,"Married Female with three children, education: high school degree working as manual",T02ma_WA,"Snack Foods from Snack Foods department, Ordered Brand : Nationeel","['Coffee Bar', 'Ready Food', 'Bar For Salad', 'Florist']",Saving Days,Deluxe,6.4 Millions,2.816 Millions,27.4729,24.4204,"{'Gross Weight': 27.4729, 'Net Weight': 24.4204, 'Package Weight': 3.0525}",yes,50K+,3145.7,2055.29,656.13,436.09,352.0313
mc_ID_12,"Married Female with three children, education: partial college working as professional",L05es_CA,"Hygiene from Health and Hygiene department, Ordered Brand : Consolidated",['Florist'],Shelf Emptiers,Supermarket,7.14 Millions,3.4986 Millions,15.5534,12.6317,"{'Gross Weight': 15.5534, 'Net Weight': 12.6317, 'Package Weight': 2.9217}",yes,130K+,2195.09,1322.44,525.32,348.85,564.2647
mc_ID_13,"Married Female with four children, education: bachelors degree working as management",S03le_WA,"Fruit from Produce department, Ordered Brand : Hermanos",['Coffee Bar'],,Supermarket,11.08 Millions,5.0968 Millions,25.2925,23.6936,"{'Gross Weight': 25.2925, 'Net Weight': 23.6936, 'Package Weight': 1.599}",yes,50K+,1970.04,1238.77,440.92,292.48,720.5371
mc_ID_14,"Single Male with one child, education: high school degree working as manual",S03le_WA,"Seafood from Seafood department, Ordered Brand : Tip Top",['Coffee Bar'],,Supermarket,2.37 Millions,1.1139 Millions,,16.1349,"{'Gross Weight': 20.4957, 'Net Weight': 16.1349, 'Package Weight': 4.3608}",yes,30K+,1970.94,1236.07,440.92,294.86,473.7334
mc_ID_15,"Single Female with two children, education: bachelors degree working as management",P07nd_OR,"Magazines from Periodicals department, Ordered Brand : Mighty Good",[],Full Free,,4.92 Millions,2.46 Millions,26.6008,,"{'Gross Weight': 26.6008, 'Net Weight': 25.0018, 'Package Weight': 1.599}",yes,70K+,1887.37,1508,227.8,151.41,660.2352
mc_ID_16,"Married Male with four children, education: partial college working as professional",P07nd_OR,"Vegetables from Frozen Foods department, Ordered Brand : Carrington",[],GLD,Supermarket,2.76 Millions,0.8556 Millions,9.9862,8.5181,"{'Gross Weight': 9.9862, 'Net Weight': 8.5181, 'Package Weight': 1.4681}",no,30K+,1888.78,,229.8,150.07,727.9637
mc_ID_17,"Single Female with four children, education: bachelors degree working as professional",O09ba_VE,"Vegetables from Produce department, Ordered Brand : Tri-State","['Bar For Salad', 'Ready Food']",Three for One,Supermarket,11.72 Millions,5.5084 Millions,17.2978,14.376,"{'Gross Weight': 17.2978, 'Net Weight': 14.376, 'Package Weight': 2.9217}",yes,50K+,3232.54,2448.37,470.27,313.55,656.2604
mc_ID_18,"Married Female with four children, education: high school degree working as skilled manual",S04ne_WA,"Electrical from Household department, Ordered Brand : Denny",[],Promo Big,,7.74 Millions,2.3994 Millions,25.2925,,"{'Gross Weight': 25.2925, 'Net Weight': 22.24, 'Package Weight': 3.0525}",no,30K+,2811.99,2049.72,457.36,304.91,515.2596
mc_ID_19,"Married Male with four children, education: bachelors degree working as professional",L05es_CA,"Beer and Wine from Alcoholic Beverages department, Ordered Brand : Portsmouth",['Florist'],Super Savers,Supermarket,6.48 Millions,2.5272 Millions,23.5482,19.1874,"{'Gross Weight': 23.5482, 'Net Weight': 19.1874, 'Package Weight': 4.3608}",yes,70K+,2192.29,1320.15,523.32,348.85,338.6948
mc_ID_20,"Single Male with one child, education: partial high school working as manual",B06ls_CA,"Jams and Jellies from Baking Goods department, Ordered Brand : Landslide","['Video Store', 'Ready Food', 'Bar For Salad', 'Coffee Bar', 'Florist']",,,4.2 Millions,1.638 Millions,10.5822,9.1286,"{'Gross Weight': 10.5822, 'Net Weight': 9.1286, 'Package Weight': 1.4536}",yes,50K+,2197.92,1424.85,465.54,310.3,427.7617
mc_ID_21,"Married Female with two children, education: partial college working as skilled manual",C15ho_ZA,"Dairy from Dairy department, Ordered Brand : Club","['Ready Food', 'Bar For Salad', 'Coffee Bar', 'Florist']",,Gourmet,7.98 Millions,3.3516 Millions,10.2188,7.3116,"{'Gross Weight': 10.2188, 'Net Weight': 7.3116, 'Package Weight': 2.9072}",no,30K+,2207.28,1564.86,387.45,256.97,396.2248
